[9] URL: https://www.kernel.org | Código: 200 | Tiempo: 562ms
[5] URL: https://www.google.com | Código: 200 | Tiempo: 695ms
[2] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 867ms
[10] URL: https://www.mozilla.org | Código: 200 | Tiempo: 974ms
[3] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 1093ms
[1] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 1124ms
[25] URL: https://www.google.com | Código: 200 | Tiempo: 1140ms
[7] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 1291ms
[4] URL: https://example.com | Código: 200 | Tiempo: 1332ms
[6] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1321ms
[17] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 1422ms
[16] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1642ms
[65] URL: https://www.google.com | Código: 200 | Tiempo: 1445ms
[77] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 1282ms
[15] URL: https://www.google.com | Código: 200 | Tiempo: 1689ms
[8] URL: https://www.gnu.org | Código: 200 | Tiempo: 1744ms
[19] URL: https://www.kernel.org | Código: 200 | Tiempo: 1810ms
[69] URL: https://www.kernel.org | Código: 200 | Tiempo: 1761ms
[76] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 1743ms
[45] URL: https://www.google.com | Código: 200 | Tiempo: 2030ms
[37] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2064ms
[89] URL: https://www.kernel.org | Código: 200 | Tiempo: 1790ms
[39] URL: https://www.kernel.org | Código: 200 | Tiempo: 2060ms
[35] URL: https://www.google.com | Código: 200 | Tiempo: 2088ms
[95] URL: https://www.google.com | Código: 200 | Tiempo: 1857ms
[55] URL: https://www.google.com | Código: 200 | Tiempo: 2160ms
[50] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2184ms
[49] URL: https://www.kernel.org | Código: 200 | Tiempo: 2191ms
[60] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2153ms
[90] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2024ms
[20] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2369ms
[85] URL: https://www.google.com | Código: 200 | Tiempo: 2038ms
[33] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2330ms
[79] URL: https://www.kernel.org | Código: 200 | Tiempo: 2068ms
[75] URL: https://www.google.com | Código: 200 | Tiempo: 2071ms
[11] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2462ms
[40] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2360ms
[27] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2419ms
[72] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2118ms
[59] URL: https://www.kernel.org | Código: 200 | Tiempo: 2328ms
[30] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2461ms
[29] URL: https://www.kernel.org | Código: 200 | Tiempo: 2471ms
[97] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2172ms
[71] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2192ms
[80] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2202ms
[105] URL: https://www.google.com | Código: 200 | Tiempo: 2159ms
[52] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2452ms
[36] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2508ms
[44] URL: https://example.com | Código: 200 | Tiempo: 2487ms
[32] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2569ms
[51] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2488ms
[81] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2298ms
[12] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2689ms
[83] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2319ms
[57] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2558ms
[100] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2337ms
[42] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2653ms
[46] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2641ms
[13] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2762ms
[67] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2557ms
[66] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2559ms
[53] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2615ms
[31] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2718ms
[21] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2766ms
[70] URL: https://www.mozilla.org | Código: 200 | Tiempo: 2582ms
[87] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2433ms
[41] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2695ms
[119] URL: https://www.kernel.org | Código: 200 | Tiempo: 1841ms
[22] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2774ms
[106] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2390ms
[91] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2433ms
[82] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2473ms
[115] URL: https://www.google.com | Código: 200 | Tiempo: 2068ms
[26] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2785ms
[92] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2482ms
[74] URL: https://example.com | Código: 200 | Tiempo: 2469ms
[47] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2728ms
[93] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2501ms
[62] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2694ms
[61] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 2688ms
[102] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2492ms
[96] URL: https://www.cloudflare.com | Código: 200 | Tiempo: 2514ms
[112] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 2354ms
[107] URL: https://www.wikipedia.org | Código: 200 | Tiempo: 2431ms
[129] URL: https://www.kernel.org | Código: 200 | Tiempo: 1514ms
[23] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 2879ms
[125] URL: https://www.google.com | Código: 200 | Tiempo: 1781ms
