[5] URL: https://www.google.com | Código: 000 | Tiempo: 78ms
[8] URL: https://www.gnu.org | Código: 000 | Tiempo: 80ms
[4] URL: https://example.com | Código: 000 | Tiempo: 91ms
[7] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 87ms
[11] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 74ms
[3] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 100ms
[9] URL: https://www.kernel.org | Código: 000 | Tiempo: 85ms
[1] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 103ms
[6] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 95ms
[12] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 79ms
[2] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 106ms
[36] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 28ms
[23] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 59ms
[30] URL: https://www.mozilla.org | Código: 000 | Tiempo: 42ms
[16] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 81ms
[34] URL: https://example.com | Código: 000 | Tiempo: 35ms
[31] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 45ms
[41] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 18ms
[35] URL: https://www.google.com | Código: 000 | Tiempo: 33ms
[37] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 28ms
[39] URL: https://www.kernel.org | Código: 000 | Tiempo: 29ms
[38] URL: https://www.gnu.org | Código: 000 | Tiempo: 29ms
[44] URL: https://example.com | Código: 000 | Tiempo: 15ms
[42] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 28ms
[45] URL: https://www.google.com | Código: 000 | Tiempo: 23ms
[43] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 30ms
[40] URL: https://www.mozilla.org | Código: 000 | Tiempo: 36ms
[47] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 21ms
[48] URL: https://www.gnu.org | Código: 000 | Tiempo: 20ms
[49] URL: https://www.kernel.org | Código: 000 | Tiempo: 19ms
[46] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 28ms
[51] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 25ms
[53] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 20ms
[56] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 21ms
[52] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 22ms
[55] URL: https://www.google.com | Código: 000 | Tiempo: 23ms
[57] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 22ms
[50] URL: https://www.mozilla.org | Código: 000 | Tiempo: 35ms
[54] URL: https://example.com | Código: 000 | Tiempo: 24ms
[59] URL: https://www.kernel.org | Código: 000 | Tiempo: 22ms
[65] URL: https://www.google.com | Código: 000 | Tiempo: 14ms
[60] URL: https://www.mozilla.org | Código: 000 | Tiempo: 30ms
[64] URL: https://example.com | Código: 000 | Tiempo: 20ms
[62] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 24ms
[63] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 22ms
[58] URL: https://www.gnu.org | Código: 000 | Tiempo: 35ms
[67] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 19ms
[72] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 24ms
[70] URL: https://www.mozilla.org | Código: 000 | Tiempo: 26ms
[66] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 38ms
[73] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 20ms
[61] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 49ms
[71] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 28ms
[68] URL: https://www.gnu.org | Código: 000 | Tiempo: 35ms
[74] URL: https://example.com | Código: 000 | Tiempo: 22ms
[69] URL: https://www.kernel.org | Código: 000 | Tiempo: 34ms
[75] URL: https://www.google.com | Código: 000 | Tiempo: 32ms
[78] URL: https://www.gnu.org | Código: 000 | Tiempo: 18ms
[77] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 20ms
[81] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 20ms
[80] URL: https://www.mozilla.org | Código: 000 | Tiempo: 42ms
[84] URL: https://example.com | Código: 000 | Tiempo: 25ms
[85] URL: https://www.google.com | Código: 000 | Tiempo: 30ms
[76] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 41ms
[87] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 22ms
[88] URL: https://www.gnu.org | Código: 000 | Tiempo: 21ms
[86] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 27ms
[83] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 39ms
[82] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 38ms
[79] URL: https://www.kernel.org | Código: 000 | Tiempo: 50ms
[89] URL: https://www.kernel.org | Código: 000 | Tiempo: 34ms
[93] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 21ms
[90] URL: https://www.mozilla.org | Código: 000 | Tiempo: 20ms
[92] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 25ms
[95] URL: https://www.google.com | Código: 000 | Tiempo: 22ms
[94] URL: https://example.com | Código: 000 | Tiempo: 28ms
[96] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 29ms
[97] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 26ms
[91] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 34ms
[99] URL: https://www.kernel.org | Código: 000 | Tiempo: 15ms
[102] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[105] URL: https://www.google.com | Código: 000 | Tiempo: 17ms
[101] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 25ms
[103] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 20ms
[109] URL: https://www.kernel.org | Código: 000 | Tiempo: 13ms
[107] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 21ms
[100] URL: https://www.mozilla.org | Código: 000 | Tiempo: 33ms
[110] URL: https://www.mozilla.org | Código: 000 | Tiempo: 19ms
[98] URL: https://www.gnu.org | Código: 000 | Tiempo: 38ms
[111] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 18ms
[104] URL: https://example.com | Código: 000 | Tiempo: 27ms
[106] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 20ms
[108] URL: https://www.gnu.org | Código: 000 | Tiempo: 35ms
[113] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 17ms
[116] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 16ms
[114] URL: https://example.com | Código: 000 | Tiempo: 23ms
[112] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 17ms
[117] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 16ms
[119] URL: https://www.kernel.org | Código: 000 | Tiempo: 11ms
[115] URL: https://www.google.com | Código: 000 | Tiempo: 21ms
[118] URL: https://www.gnu.org | Código: 000 | Tiempo: 17ms
[120] URL: https://www.mozilla.org | Código: 000 | Tiempo: 13ms
[121] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 14ms
[122] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 16ms
[123] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 15ms
[124] URL: https://example.com | Código: 000 | Tiempo: 16ms
[125] URL: https://www.google.com | Código: 000 | Tiempo: 12ms
[126] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 18ms
[127] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 17ms
[129] URL: https://www.kernel.org | Código: 000 | Tiempo: 15ms
[130] URL: https://www.mozilla.org | Código: 000 | Tiempo: 11ms
[128] URL: https://www.gnu.org | Código: 000 | Tiempo: 18ms
[131] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 13ms
[133] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 16ms
[132] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 15ms
[135] URL: https://www.google.com | Código: 000 | Tiempo: 15ms
[134] URL: https://example.com | Código: 000 | Tiempo: 17ms
[137] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 12ms
[136] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 14ms
[138] URL: https://www.gnu.org | Código: 000 | Tiempo: 11ms
[140] URL: https://www.mozilla.org | Código: 000 | Tiempo: 12ms
[139] URL: https://www.kernel.org | Código: 000 | Tiempo: 16ms
[141] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 13ms
[142] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 14ms
[143] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 15ms
[144] URL: https://example.com | Código: 000 | Tiempo: 12ms
[145] URL: https://www.google.com | Código: 000 | Tiempo: 11ms
[146] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 11ms
[147] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 14ms
[148] URL: https://www.gnu.org | Código: 000 | Tiempo: 14ms
[150] URL: https://www.mozilla.org | Código: 000 | Tiempo: 11ms
[149] URL: https://www.kernel.org | Código: 000 | Tiempo: 17ms
[151] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 13ms
[152] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 14ms
[153] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 10ms
[154] URL: https://example.com | Código: 000 | Tiempo: 14ms
[155] URL: https://www.google.com | Código: 000 | Tiempo: 14ms
[156] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 12ms
[157] URL: https://www.wikipedia.org | Código: 000 | Tiempo: 14ms
[158] URL: https://www.gnu.org | Código: 000 | Tiempo: 12ms
[159] URL: https://www.kernel.org | Código: 000 | Tiempo: 14ms
[160] URL: https://www.mozilla.org | Código: 000 | Tiempo: 12ms
[162] URL: https://speed.hetzner.de/1MB.bin | Código: 000 | Tiempo: 12ms
[161] URL: https://speed.hetzner.de/10MB.bin | Código: 000 | Tiempo: 17ms
[163] URL: https://speed.hetzner.de/100MB.bin | Código: 000 | Tiempo: 14ms
[164] URL: https://example.com | Código: 000 | Tiempo: 10ms
[166] URL: https://www.cloudflare.com | Código: 000 | Tiempo: 14ms
[165] URL: https://www.google.com | Código: 000 | Tiempo: 15ms
